,Channel_name,Video_title,Video_url
0,Benjamin Cowen,Bitcoin Dominance,https://www.youtube.com/watch?v=OrEdDZ94Od0
1,Benjamin Cowen,The 2024 Bitcoin Halving (LIVE!),https://www.youtube.com/watch?v=fAuXfvZ5W9o
2,Benjamin Cowen,Bitcoin: The Halving Approaches,https://www.youtube.com/watch?v=QhJFtaXaYxE
3,Benjamin Cowen,Bitcoin Halving Eve,https://www.youtube.com/watch?v=kjHe5KLT1W8
4,Benjamin Cowen,NFA Live! The Bitcoin Halving,https://www.youtube.com/watch?v=wS-ramvvRFU
5,Benjamin Cowen,Bitcoin: Dubious Speculation,https://www.youtube.com/watch?v=AwqI3fDVbp8
6,Benjamin Cowen,ETH/BTC Has Fallen!,https://www.youtube.com/watch?v=gLkNGuLT38E
7,Benjamin Cowen,Bitcoin: The 2024 Halving,https://www.youtube.com/watch?v=wf19QDH7EG8
8,Benjamin Cowen,Bitcoin: Dubious Speculation,https://www.youtube.com/watch?v=RSF3ywcKUeE
9,Benjamin Cowen,Bitcoin: Social Risk,https://www.youtube.com/watch?v=-Kn2JEBoRes
10,Benjamin Cowen,Cardano Outlook,https://www.youtube.com/watch?v=VOJdqSwFgBU
11,Benjamin Cowen,Bitcoin On-Chain: HODL Waves,https://www.youtube.com/watch?v=VRkaOo6Garo
12,Benjamin Cowen,Bitcoin: The Beauty of Mathematics (Part 45),https://www.youtube.com/watch?v=qMIwh7UoPMo
13,Benjamin Cowen,Jobs Report,https://www.youtube.com/watch?v=1TWdVGIKqu0
14,Benjamin Cowen,Tesla Outlook,https://www.youtube.com/watch?v=COLLouRJIRY
15,Benjamin Cowen,Bitcoin: The Beauty of Mathematics (Part 42),https://www.youtube.com/watch?v=_Mk5E_GXKxw
16,Benjamin Cowen,Bitcoin On-Chain Risk,https://www.youtube.com/watch?v=XJiAyLtFO6I
17,Benjamin Cowen,Bitcoin: Percentage Drawdown From All Time Highs,https://www.youtube.com/watch?v=CzF7lQbQAmg
18,Benjamin Cowen,Bitcoin Dominance,https://www.youtube.com/watch?v=1zR6R6DC_Zo
19,Benjamin Cowen,S&amp;P 500 ROI After Yield Curve Inversion,https://www.youtube.com/watch?v=0ZljXuhkPSw
20,Benjamin Cowen,No Shill Zone (With Ben Cowen and Gareth Soloway),https://www.youtube.com/watch?v=38aMSriDEVM
21,Benjamin Cowen,Ethereum Logarithmic Regression,https://www.youtube.com/watch?v=SnxRsYt5h7M
22,Benjamin Cowen,Cardano Outlook,https://www.youtube.com/watch?v=znrZR9sp6uY
23,Benjamin Cowen,ETH/BTC Outlook,https://www.youtube.com/watch?v=CkhF4Aop4kM
24,Benjamin Cowen,The Altcoin Reckoning,https://www.youtube.com/watch?v=2C6cPfSoZTQ
25,Benjamin Cowen,Real Estate Outlook,https://www.youtube.com/watch?v=-kpGCbbkO24
26,Benjamin Cowen,Ethereum: Dubious Speculation,https://www.youtube.com/watch?v=ViE1kDzYskY
27,Benjamin Cowen,Gross Domestic Income,https://www.youtube.com/watch?v=5KuB_HBRZCM
28,Benjamin Cowen,S&amp;P 500 Risk Metric,https://www.youtube.com/watch?v=4hMorJEt6Qo
29,Benjamin Cowen,Bitcoin Dominance,https://www.youtube.com/watch?v=q9eH0UKydds
