,Channel_name,Subscribers,Views,Total_videos,Playlist_id
0,Scott Melker,147000,13349892,998,UUxIU1RFIdDpvA8VOITswQ1A
1,Brian Jung,1810000,85683696,547,UUQglaVhGOBI0BR5S6IJnQPg
2,Crypto Insight,2430,106259,185,UUeho-pOR48pgRS5OQVifVCA
3,Francis Dhun Uncensored ,44200,2221265,602,UU4RzRP-dlf-RrCl3iHQi77A
4,Jerry Banfield Crypto,37000,1399728,99,UUuP9POBXk191J_QWpR8a0TA
5,CoinGecko,200000,6543374,676,UU-OTgwOAI7KmP0eDAtqN3Ow
6,VirtualBacon,339000,25978517,1154,UUcrEA_xd9Ldf1C8DIJYdyyA
7,Krypto Cove,58500,3762804,89,UUAZ9PHafkZUFsGRsRPPWaxQ
8,Benjamin Cowen,800000,112521821,1219,UURvqjQPSeaWn-uEx-w0XOIg
9,Ivan on Tech,525000,27931424,593,UUrYmtJBtLdtm2ov84ulV-yg
10,Crypto Insight,977,63791,124,UUCbenQd7OteG1pG2Dn3tDMA
11,InvestAnswers,510000,75547624,663,UUlgJyzwGs-GyaNxUHcLZrkg
12,Digital Asset News,351000,51644287,1002,UUJgHxpqfhWEEjYH9cLXqhIQ
13,Crypto Banter,772000,122718855,1519,UUN9Nj4tjXbVTLYWN0EKly_Q
14,Coin Bureau,2470000,239301860,554,UUqK_GSMbpiV8spgD3ZGloSw
15,JRNY Crypto,608000,39070091,413,UU188KLMYLLGqVJZdYq7mYFw
16,Craig Percoco,436000,12392444,175,UUL-QLzGmf468WAL1U-9g0qA
17,Coinsider,296000,15530245,718,UUi7egjf0JDHuhznWugXq4hA
