,Channel_name,Video_title,Video_url
0,Benjamin Cowen,Bitcoin Dominance,https://www.youtube.com/watch?v=OrEdDZ94Od0
1,Benjamin Cowen,The 2024 Bitcoin Halving (LIVE!),https://www.youtube.com/watch?v=fAuXfvZ5W9o
2,Benjamin Cowen,Bitcoin: The Halving Approaches,https://www.youtube.com/watch?v=QhJFtaXaYxE
3,Benjamin Cowen,Bitcoin Halving Eve,https://www.youtube.com/watch?v=kjHe5KLT1W8
4,Benjamin Cowen,NFA Live! The Bitcoin Halving,https://www.youtube.com/watch?v=wS-ramvvRFU
5,Benjamin Cowen,Bitcoin: Dubious Speculation,https://www.youtube.com/watch?v=AwqI3fDVbp8
6,Benjamin Cowen,ETH/BTC Has Fallen!,https://www.youtube.com/watch?v=gLkNGuLT38E
7,Benjamin Cowen,Bitcoin: The 2024 Halving,https://www.youtube.com/watch?v=wf19QDH7EG8
8,Benjamin Cowen,Bitcoin: Dubious Speculation,https://www.youtube.com/watch?v=RSF3ywcKUeE
9,Benjamin Cowen,Cardano Outlook,https://www.youtube.com/watch?v=VOJdqSwFgBU
10,Brian Jung,Top 5 New Cryptos To Invest in By Bitcoin Halving,https://www.youtube.com/watch?v=cEQk0bs-w5Q
11,Brian Jung,Top 5 Crypto Narratives To Invest in 2024 [Don’t Lose Out],https://www.youtube.com/watch?v=AoZXDhMVYnc
12,Brian Jung,Ultimate Beginner&#39;s Guide to Investing in Stocks (Updated 2024),https://www.youtube.com/watch?v=86rPBAnRCHc
13,Brian Jung,How To INSTANTLY Increase Your Credit Score (Beginners Guide),https://www.youtube.com/watch?v=gROkldpwhBE
14,Brian Jung,The Crypto Bull Run Just Started | DO THIS NOW.,https://www.youtube.com/watch?v=mZ66Tz6wnrE
15,Brian Jung,Top 5 Cryptos to Invest In (GET IN EARLY),https://www.youtube.com/watch?v=n3VopDgDgbg
16,Brian Jung,Exploring the Vibe Interactive Whiteboard,https://www.youtube.com/watch?v=yGZvJpZHS-8
17,Brian Jung,"Top 5 Affiliate Marketing Programs ( +$1,235 a Day)",https://www.youtube.com/watch?v=ZhOhndgqZLc
18,Brian Jung,3-Step Framework to Making Your First Million Dollars ( Here&#39;s What I Did),https://www.youtube.com/watch?v=42ASuXB6ic0
19,Brian Jung,Best Way to Buy the New iPhone 15,https://www.youtube.com/watch?v=KclhZdOZeTw
20,Coin Bureau,What’s Next for USDT?! Interview With Tether CEO!,https://www.youtube.com/watch?v=1oDgxAvQVQk
21,Coin Bureau,Bitcoin Halving 2024!! What It Means For YOUR Crypto Portfolio!,https://www.youtube.com/watch?v=MTB3di89DwU
22,Coin Bureau,How to Buy BITCOIN in 2024! Step By Step Guide for Beginners!,https://www.youtube.com/watch?v=qqO9-uj-m2o
23,Coin Bureau,"Crypto News: BTC, Uniswap vs. The SEC, ETH, TON, USDT &amp; MORE!!",https://www.youtube.com/watch?v=PYWsd8e5n-I
24,Coin Bureau,2024 Narratives For Crypto &amp; Stocks!! You Must Watch THIS!,https://www.youtube.com/watch?v=WTs_Mv9rSEg
25,Coin Bureau,BEST Memecoins on Solana: Don’t Miss Out On These TOP Tips!!,https://www.youtube.com/watch?v=A4j3g914rr0
26,Coin Bureau,These Cryptos Have MASSIVE Potential?! ETH Layer 3 Explained!,https://www.youtube.com/watch?v=dQA6A-s6UxM
